Codigo;Fecha;CodMovim;Detalle;Letra;Id;Importe;Saldo;TipoMovim;TipoFPago;FechaVto;Operacion;CuentaContable;NroRenglonAsiento;EsPago;EsDocumento;Sucursal;DiasPromedio;PromedioReal;IDENTIFICADOR;NRO_INTERNO;ID_BIEN;TIPO_BIEN;TIPO_PLAN;TIPO_CUOTA;ANO_CUOTA;NRO_CUOTA;ESTADO_DEUDA;FECHA_ACTUALIZACION_DEUDA;NRO_OPERACION;Categoria;IdTrans;Nro_Dev;NRO_TALONARIO;FechaPago;NUMERO;NRO_RECIBO;NRO_EXPEDIENTE;CuentaContableAC;CuentaContableV;TablaLiq;NumeroPago;Dominio;ACTUALIZACION_COBRADO;NumeroPagoTmp;Observaciones;Ejercicio;FechaP;RecIntereses;MOF;LOF
0;29/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;10300;0;CO;NULL;29/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000578;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4919;NULL;NULL;NULL;2500000578;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;29/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;7200;0;CO;NULL;29/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000577;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4920;NULL;NULL;NULL;2500000577;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
33;29/1/2024 00:00;D;PAGO 2024 000 OBSA;NULL;NULL;14256;0;CO;NULL;29/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;500005133;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4921;NULL;NULL;NULL;500005133;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
33;29/1/2024 00:00;D;PAGO 2024 000 ININ;NULL;NULL;14256;0;CO;NULL;29/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;100012180;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4922;NULL;NULL;NULL;100012180;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;24/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;3600;0;CO;NULL;24/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000576;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4923;NULL;NULL;NULL;2500000576;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;24/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;7200;0;CO;NULL;24/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000575;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4924;NULL;NULL;NULL;2500000575;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;24/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;10300;0;CO;NULL;24/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000574;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4925;NULL;NULL;NULL;2500000574;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;22/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;10800;0;CO;NULL;22/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000573;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4926;NULL;NULL;NULL;2500000573;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;18/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;10300;0;CO;NULL;18/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000572;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4927;NULL;NULL;NULL;2500000572;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
0;12/1/2024 00:00;D;PAGO 0000 000 xxxx;NULL;NULL;7200;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;2500000571;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4928;NULL;NULL;NULL;2500000571;NULL;NULL;NULL;NULL;NULL;0;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
91;12/1/2024 00:00;D;PAGO 2021 006 AUAU;NULL;NULL;929,2;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011474;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4929;NULL;NULL;NULL;300011474;NULL;NULL;NULL;NULL;NULL;11476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
91;12/1/2024 00:00;D;PAGO 2021 005 AUAU;NULL;NULL;962,24;0;CO;NULL;12/1/2024 00:00;NULL;1101;NULL;1;NULL;NULL;NULL;NULL;NULL;300011473;0;RRRR;1;1;0;0;NULL;NULL;NULL;NULL;4930;NULL;NULL;NULL;300011473;NULL;NULL;NULL;NULL;NULL;11476;NULL;NULL;565656;NULL;202401;NULL;NULL;NULL;NULL
