Codigo;Fecha;CodMovim;Detalle;Letra;Id;Importe;Saldo;TipoMovim;TipoFPago;FechaVto;Operacion;CuentaContable;NroRenglonAsiento;EsPago;EsDocumento;Sucursal;DiasPromedio;PromedioReal;IDENTIFICADOR;NRO_INTERNO;ID_BIEN;TIPO_BIEN;TIPO_PLAN;TIPO_CUOTA;ANO_CUOTA;NRO_CUOTA;ESTADO_DEUDA;FECHA_ACTUALIZACION_DEUDA;NRO_OPERACION;Categoria;Nro_Dev;NRO_TALONARIO;FechaPago;NUMERO;NRO_RECIBO;NRO_EXPEDIENTE;CuentaContableAC;CuentaContableV;TablaLiq;NumeroPago;Dominio;ACTUALIZACION_COBRADO;NumeroPagoTmp;Observaciones;Ejercicio;FechaP;RecIntereses;MOF;LOF
0000013;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000014;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000015;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000016;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000016;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000017;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000017;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000018;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000018;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000019;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000019;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000020;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000020;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000021;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000021;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000022;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000022;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000023;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0000023;2025-02-06 00:00:00;H;SERVCIO DE AGUA;NULL;NULL;9750,00;9750,00;FA;NULL;2025-03-31 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000024;OBSA;NULL;NULL;2025;001;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;4045;AGUA2025;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
