Codigo;Fecha;CodMovim;Detalle;Letra;Id;Importe;Saldo;TipoMovim;TipoFPago;FechaVto;Operacion;CuentaContable;NroRenglonAsiento;EsPago;EsDocumento;Sucursal;DiasPromedio;PromedioReal;IDENTIFICADOR;NRO_INTERNO;ID_BIEN;TIPO_BIEN;TIPO_PLAN;TIPO_CUOTA;ANO_CUOTA;NRO_CUOTA;ESTADO_DEUDA;FECHA_ACTUALIZACION_DEUDA;NRO_OPERACION;Categoria;Nro_Dev;NRO_TALONARIO;FechaPago;NUMERO;NRO_RECIBO;NRO_EXPEDIENTE;CuentaContableAC;CuentaContableV;TablaLiq;NumeroPago;Dominio;ACTUALIZACION_COBRADO;NumeroPagoTmp;Observaciones;Ejercicio;FechaP;RecIntereses;MOF;LOF
0000020;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000021;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000
0000021;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000022;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;002
0000022;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000023;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;005
0000023;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000024;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;001
0000024;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000025;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;003
0000025;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000026;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;004
0000026;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000027;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;008
0000027;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000028;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;008
0000030;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000031;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;009
0000031;2025-02-06 00:00:00;H;CATASTRO 25;NULL;NULL;6500,00;6500,00;FA;NULL;2025-03-17 00:00:00;NULL;    ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;000032;ININ;NULL;NULL;2025;001;NULL;2025-02-06 00:00:00.000;NULL;NULL;38;NULL;NULL;NULL;NULL;NULL;;4001;CATASTRO25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;007
