IdTrans;IDENTIFICADOR;Codigo;ID_AUTOMOTOR;TIPO_CATEGORIA_AUTOMOTOR;CIP;ANO_VALUACION;MODELO_AUTOMOTOR;NRO_MOTOR;NRO_CHASIS;CERTIFICADO_FABRICACION;NRO_ADUANA;MARCA_VEHICULO;DESCRIPCION_INDIVIDUAL;PESO_CILINDRADA;IMPORTADO;DOMINIO;VIM;TIPO_ALTA;VALOR_FACTURA;CARGA;SUBESCALA;Fecha;BASE_IMP_CALC;BASE_IMP_CALC2;BASE_IMPCALC2;BASE__IMPCALC2;LIQUIDA;ID_AUTOMOTORPGM;FechaAlta;EXENCION;Valuacion2023;Valuacion2024;FechaBaja
24344; ;0000049;000027; ;04405663;2008; ;178F30118032642; ; ; ;FIAT IDEA ELX 1.4 MPI 8V; ;NULL; ;HDT505; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2008-04-28 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24345; ;0000097;000028; ;00000004;1995; ;159 A2 0388244420; ; ; ; ; ;NULL; ;AHP302; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;1995-03-28 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24346; ;0000098;000029; ;0261915;1994; ;PRAR13613; ; ; ;FORD F-100; ;NULL; ;URY643; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;1994-01-21 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24347; ;0000097;000030; ;00000120;1973; ;416058; ; ; ; ; ;NULL; ;WZV158; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2010-10-07 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24348; ;0000099;000031; ;03453UA;2012; ;CNF 004114; ; ; ;VOLKSWAGEN AMAROK 2.0L TDI 140 CV 4X2 469; ;NULL; ;LWQ012; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2012-11-12 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24349; ;0000100;000032; ;10221406;2006; ;525698BVQ35; ; ; ; ; ;NULL; ;FVZ784; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2006-11-06 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24350; ;0000101;000033; ;03337YZ;2013; ;D4FG728Q168233; ; ; ;RENAULT CLIO MIO 5P CONFORT PLUS; ;NULL; ;NKJ308; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2013-06-01 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24351; ;0000103;000037; ;0306838;2011; ;1KD-5431060; ; ; ;TOYOTA HILUX 4X2 CABINA DOBLE SR C/AB 3.0 TDI; ;NULL; ;KOO118; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2011-10-28 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24352; ;0000050;000038; ;0306829;2007; ;1KD-7236512; ; ; ;TOYOTA HILUX 4X4 CABINA DOBLE SRV 3.0 TDi A/T; ;NULL; ;GBO432; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;S; ;2007-01-23 00:00:00.000; ;0,00;0,00;2001-01-01 00:00:00.000
24353; ;0000006;000039; ;0306873;2015; ;1KD-A737795; ; ; ;TOYOTA HILUX 4X2 C/D SRV 3.0 TDI CUERO - E4; ;NULL; ;OTC854; ; ;0,00;0,00; ;NULL;15000000,00;NULL;NULL;NULL;N; ;2015-04-21 00:00:00.000; ;0,00;0,00;2022-04-21 00:00:00.000
